2026-04-18T00:00:00.032208+00:00 | Renegades Of Funk | Rage Against The Machine | source:amperwave-api
2026-04-18T05:08:28.314833+00:00 | Nothin | Guns N Roses | source:amperwave-api
2026-04-18T05:09:09.780286+00:00 | Nothin | Guns N Roses | source:amperwave-api
2026-04-18T05:09:47.303157+00:00 | Nothin | Guns N Roses | source:amperwave-api
2026-04-18T05:10:23.273756+00:00 | Nothin | Guns N Roses | source:amperwave-api
2026-04-18T05:10:59.298512+00:00 | Nothin | Guns N Roses | source:amperwave-api
2026-04-18T05:11:35.023121+00:00 | Nothin | Guns N Roses | source:amperwave-api
2026-04-18T05:12:11.486026+00:00 | Nothin | Guns N Roses | source:amperwave-api
2026-04-18T05:12:47.101678+00:00 | Hard To Handle | The Black Crowes | source:amperwave-api
2026-04-18T05:13:22.724889+00:00 | Hard To Handle | The Black Crowes | source:amperwave-api
2026-04-18T05:13:58.452157+00:00 | Hard To Handle | The Black Crowes | source:amperwave-api
2026-04-18T05:14:33.994507+00:00 | Hard To Handle | The Black Crowes | source:amperwave-api
2026-04-18T05:15:09.643480+00:00 | Hard To Handle | The Black Crowes | source:amperwave-api
2026-04-18T05:15:45.741788+00:00 | Hard To Handle | The Black Crowes | source:amperwave-api
2026-04-18T05:16:22.532283+00:00 | Hard To Handle | The Black Crowes | source:amperwave-api
2026-04-18T05:16:58.863504+00:00 | Hard To Handle | The Black Crowes | source:amperwave-api
2026-04-18T05:18:07.023271+00:00 | Dance Macabre | Ghost | source:amperwave-api
2026-04-18T05:18:42.454904+00:00 | Dance Macabre | Ghost | source:amperwave-api
2026-04-18T05:19:43.989398+00:00 | Dance Macabre | Ghost | source:amperwave-api
2026-04-18T05:20:24.455825+00:00 | Dance Macabre | Ghost | source:amperwave-api
2026-04-18T05:20:59.612439+00:00 | All Apologies | Nirvana | source:amperwave-api
2026-04-18T05:22:46.714120+00:00 | All Apologies | Nirvana | source:amperwave-api
2026-04-18T05:23:22.491786+00:00 | All Apologies | Nirvana | source:amperwave-api
2026-04-18T05:24:20.008885+00:00 | All Apologies | Nirvana | source:amperwave-api
2026-04-18T05:25:00.268509+00:00 | Shallow | Magnolia Park | source:amperwave-api
2026-04-18T05:25:39.143994+00:00 | Shallow | Magnolia Park | source:amperwave-api
2026-04-18T05:26:29.283052+00:00 | Shallow | Magnolia Park | source:amperwave-api
2026-04-18T05:27:07.341035+00:00 | Shallow | Magnolia Park | source:amperwave-api
2026-04-18T05:27:43.267545+00:00 | Shallow | Magnolia Park | source:amperwave-api
2026-04-18T05:28:42.324574+00:00 | Pour Some Sugar On Me | Def Leppard | source:amperwave-api
2026-04-18T05:29:25.293186+00:00 | Pour Some Sugar On Me | Def Leppard | source:amperwave-api
2026-04-18T05:30:06.457997+00:00 | Pour Some Sugar On Me | Def Leppard | source:amperwave-api
2026-04-18T05:30:43.316115+00:00 | Pour Some Sugar On Me | Def Leppard | source:amperwave-api
2026-04-18T05:31:19.444346+00:00 | Pour Some Sugar On Me | Def Leppard | source:amperwave-api
2026-04-18T05:31:55.616041+00:00 | Pour Some Sugar On Me | Def Leppard | source:amperwave-api
2026-04-18T05:32:32.254438+00:00 | Pour Some Sugar On Me | Def Leppard | source:amperwave-api
2026-04-18T05:33:09.321417+00:00 | Pour Some Sugar On Me | Def Leppard | source:amperwave-api
2026-04-18T05:33:45.816187+00:00 | Pour Some Sugar On Me | Def Leppard | source:amperwave-api
2026-04-18T05:34:41.459119+00:00 | Savior | Rise Against | source:amperwave-api
2026-04-18T05:35:24.495445+00:00 | Savior | Rise Against | source:amperwave-api
2026-04-18T05:36:00.252644+00:00 | Savior | Rise Against | source:amperwave-api
2026-04-18T05:36:37.636711+00:00 | Savior | Rise Against | source:amperwave-api
2026-04-18T05:37:15.029211+00:00 | Savior | Rise Against | source:amperwave-api
2026-04-18T05:38:00.915390+00:00 | Savior | Rise Against | source:amperwave-api
2026-04-18T05:39:08.127303+00:00 | Cumbersome | Seven Mary Three | source:amperwave-api
2026-04-18T05:39:43.618425+00:00 | Cumbersome | Seven Mary Three | source:amperwave-api
2026-04-18T05:40:19.178322+00:00 | Cumbersome | Seven Mary Three | source:amperwave-api
2026-04-18T05:41:24.322203+00:00 | Cumbersome | Seven Mary Three | source:amperwave-api
2026-04-18T05:42:00.446757+00:00 | Cumbersome | Seven Mary Three | source:amperwave-api
2026-04-18T05:43:00.679610+00:00 | Safe And Sound | Shinedown | source:amperwave-api
2026-04-18T05:43:38.974569+00:00 | Safe And Sound | Shinedown | source:amperwave-api
2026-04-18T05:44:14.274045+00:00 | Safe And Sound | Shinedown | source:amperwave-api
2026-04-18T05:45:19.398399+00:00 | Safe And Sound | Shinedown | source:amperwave-api
2026-04-18T05:45:59.349517+00:00 | I Wanna Be Sedated | Ramones | source:amperwave-api
2026-04-18T05:46:36.254681+00:00 | I Wanna Be Sedated | Ramones | source:amperwave-api
2026-04-18T05:47:34.462365+00:00 | I Wanna Be Sedated | Ramones | source:amperwave-api
2026-04-18T05:48:13.053757+00:00 | I Wanna Be Sedated | Ramones | source:amperwave-api
2026-04-18T05:48:48.252050+00:00 | Voodoo | Godsmack | source:amperwave-api
2026-04-18T05:49:23.509210+00:00 | Voodoo | Godsmack | source:amperwave-api
2026-04-18T05:50:30.803287+00:00 | Voodoo | Godsmack | source:amperwave-api
2026-04-18T05:51:07.750437+00:00 | Voodoo | Godsmack | source:amperwave-api
2026-04-18T05:51:44.261294+00:00 | Voodoo | Godsmack | source:amperwave-api
2026-04-18T05:52:22.045379+00:00 | Voodoo | Godsmack | source:amperwave-api
2026-04-18T05:52:58.192449+00:00 | Break Me Down | Tim Montana | source:amperwave-api
2026-04-18T05:53:34.092908+00:00 | Break Me Down | Tim Montana | source:amperwave-api
2026-04-18T05:54:10.584454+00:00 | Break Me Down | Tim Montana | source:amperwave-api
2026-04-18T05:54:45.868233+00:00 | Break Me Down | Tim Montana | source:amperwave-api
2026-04-18T05:55:22.556214+00:00 | Break Me Down | Tim Montana | source:amperwave-api
2026-04-18T05:55:59.889666+00:00 | Break Me Down | Tim Montana | source:amperwave-api
2026-04-18T05:56:36.174630+00:00 | Possum Kingdom | Toadies | source:amperwave-api
2026-04-18T05:57:13.025859+00:00 | Possum Kingdom | Toadies | source:amperwave-api
2026-04-18T05:57:48.495451+00:00 | Possum Kingdom | Toadies | source:amperwave-api
2026-04-18T05:58:25.092174+00:00 | Possum Kingdom | Toadies | source:amperwave-api
2026-04-18T05:59:00.369651+00:00 | Possum Kingdom | Toadies | source:amperwave-api
2026-04-18T06:00:06.694879+00:00 | Possum Kingdom | Toadies | source:amperwave-api
2026-04-18T06:00:43.477674+00:00 | Possum Kingdom | Toadies | source:amperwave-api
2026-04-18T06:02:30.301571+00:00 | Just Like You | Three Days Grace | source:amperwave-api
2026-04-18T06:03:06.654961+00:00 | Just Like You | Three Days Grace | source:amperwave-api
2026-04-18T06:04:02.455878+00:00 | Just Like You | Three Days Grace | source:amperwave-api
2026-04-18T06:04:41.107716+00:00 | Buddy Holly | Weezer | source:amperwave-api
2026-04-18T06:05:16.480805+00:00 | Buddy Holly | Weezer | source:amperwave-api
2026-04-18T06:06:19.708187+00:00 | Buddy Holly | Weezer | source:amperwave-api
2026-04-18T06:07:01.002838+00:00 | Buddy Holly | Weezer | source:amperwave-api
2026-04-18T06:07:39.859134+00:00 | Kerosene | The Warning | source:amperwave-api
2026-04-18T06:08:39.969057+00:00 | Kerosene | The Warning | source:amperwave-api
2026-04-18T06:09:20.870467+00:00 | Kerosene | The Warning | source:amperwave-api
2026-04-18T06:09:56.975428+00:00 | Kerosene | The Warning | source:amperwave-api
2026-04-18T06:10:53.242957+00:00 | Kerosene | The Warning | source:amperwave-api
2026-04-18T06:11:41.485601+00:00 | Over The Mountain | Ozzy Osbourne | source:amperwave-api
2026-04-18T06:12:21.172890+00:00 | Over The Mountain | Ozzy Osbourne | source:amperwave-api
2026-04-18T06:12:56.738857+00:00 | Over The Mountain | Ozzy Osbourne | source:amperwave-api
2026-04-18T06:13:32.470253+00:00 | Over The Mountain | Ozzy Osbourne | source:amperwave-api
2026-04-18T06:14:07.478807+00:00 | Over The Mountain | Ozzy Osbourne | source:amperwave-api
2026-04-18T06:14:43.669261+00:00 | Over The Mountain | Ozzy Osbourne | source:amperwave-api
2026-04-18T06:15:19.375627+00:00 | Over The Mountain | Ozzy Osbourne | source:amperwave-api
2026-04-18T06:15:56.708025+00:00 | Over The Mountain | Ozzy Osbourne | source:amperwave-api
2026-04-18T06:16:33.298806+00:00 | Over The Mountain | Ozzy Osbourne | source:amperwave-api
2026-04-18T06:17:10.884060+00:00 | Kill The Noise | Papa Roach | source:amperwave-api
2026-04-18T06:17:46.839084+00:00 | Kill The Noise | Papa Roach | source:amperwave-api
2026-04-18T06:18:22.875529+00:00 | Kill The Noise | Papa Roach | source:amperwave-api
2026-04-18T06:18:59.737990+00:00 | Kill The Noise | Papa Roach | source:amperwave-api
2026-04-18T06:19:36.553615+00:00 | Kill The Noise | Papa Roach | source:amperwave-api
2026-04-18T06:20:37.667759+00:00 | Scar Tissue | Red Hot Chili Peppers | source:amperwave-api
2026-04-18T06:21:23.047891+00:00 | Scar Tissue | Red Hot Chili Peppers | source:amperwave-api
2026-04-18T06:22:00.053201+00:00 | Scar Tissue | Red Hot Chili Peppers | source:amperwave-api
2026-04-18T06:22:56.245054+00:00 | Scar Tissue | Red Hot Chili Peppers | source:amperwave-api
2026-04-18T06:23:40.064992+00:00 | Scar Tissue | Red Hot Chili Peppers | source:amperwave-api
2026-04-18T06:24:17.505604+00:00 | Crawl Back To My Coffin | Dayseeker | source:amperwave-api
2026-04-18T06:25:14.398342+00:00 | Crawl Back To My Coffin | Dayseeker | source:amperwave-api
2026-04-18T06:25:52.206479+00:00 | Crawl Back To My Coffin | Dayseeker | source:amperwave-api
2026-04-18T06:26:28.598675+00:00 | Crawl Back To My Coffin | Dayseeker | source:amperwave-api
2026-04-18T06:27:26.158600+00:00 | Crawl Back To My Coffin | Dayseeker | source:amperwave-api
2026-04-18T06:28:06.772500+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-18T06:28:43.384881+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-18T06:29:32.347237+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-18T06:30:13.872317+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-18T06:30:49.784062+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-18T06:31:43.930544+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-18T06:32:35.110519+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-18T06:33:10.925837+00:00 | Kickstart My Heart | Motley Crue | source:amperwave-api
2026-04-18T06:33:46.945696+00:00 | When I Wake Up | The Pretty Reckless | source:amperwave-api
2026-04-18T06:34:22.302662+00:00 | When I Wake Up | The Pretty Reckless | source:amperwave-api
2026-04-18T06:35:05.583259+00:00 | When I Wake Up | The Pretty Reckless | source:amperwave-api
2026-04-18T06:35:41.703467+00:00 | When I Wake Up | The Pretty Reckless | source:amperwave-api
2026-04-18T06:36:17.920398+00:00 | When I Wake Up | The Pretty Reckless | source:amperwave-api
2026-04-18T06:36:55.139705+00:00 | When I Wake Up | The Pretty Reckless | source:amperwave-api
2026-04-18T06:37:32.252126+00:00 | Sex Thing | Stone Temple Pilots | source:amperwave-api
2026-04-18T06:38:07.968252+00:00 | Sex Thing | Stone Temple Pilots | source:amperwave-api
2026-04-18T06:38:43.274618+00:00 | Sex Thing | Stone Temple Pilots | source:amperwave-api
2026-04-18T06:39:18.921879+00:00 | Sex Thing | Stone Temple Pilots | source:amperwave-api
2026-04-18T06:39:55.728003+00:00 | Sex Thing | Stone Temple Pilots | source:amperwave-api
2026-04-18T06:40:32.656661+00:00 | Sex Thing | Stone Temple Pilots | source:amperwave-api
2026-04-18T06:41:11.311735+00:00 | Demonic Depression | Volbeat | source:amperwave-api
2026-04-18T06:41:46.732907+00:00 | Demonic Depression | Volbeat | source:amperwave-api
2026-04-18T06:42:37.141764+00:00 | Demonic Depression | Volbeat | source:amperwave-api
2026-04-18T06:43:14.805097+00:00 | Demonic Depression | Volbeat | source:amperwave-api
2026-04-18T06:43:51.285280+00:00 | Demonic Depression | Volbeat | source:amperwave-api
2026-04-18T06:44:44.095678+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-18T06:45:21.726199+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-18T06:45:57.670773+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-18T06:46:56.009976+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-18T06:47:34.895918+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-18T06:48:13.812261+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-18T06:49:07.535233+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-18T06:49:45.107563+00:00 | Bring Me To Life | Evanescence | source:amperwave-api
2026-04-18T06:50:20.833637+00:00 | Bring Me To Life | Evanescence | source:amperwave-api
2026-04-18T06:51:17.845715+00:00 | Bring Me To Life | Evanescence | source:amperwave-api
2026-04-18T06:51:56.644452+00:00 | Bring Me To Life | Evanescence | source:amperwave-api
2026-04-18T06:52:33.421064+00:00 | Bring Me To Life | Evanescence | source:amperwave-api
2026-04-18T06:53:10.333426+00:00 | Bring Me To Life | Evanescence | source:amperwave-api
2026-04-18T06:53:46.502185+00:00 | So Far So Fake | Pierce The Veil | source:amperwave-api
2026-04-18T06:54:22.116694+00:00 | So Far So Fake | Pierce The Veil | source:amperwave-api
2026-04-18T06:54:58.197507+00:00 | So Far So Fake | Pierce The Veil | source:amperwave-api
2026-04-18T06:55:34.316153+00:00 | So Far So Fake | Pierce The Veil | source:amperwave-api
2026-04-18T06:56:08.845664+00:00 | So Far So Fake | Pierce The Veil | source:amperwave-api
2026-04-18T06:56:44.903701+00:00 | So Far So Fake | Pierce The Veil | source:amperwave-api
2026-04-18T06:57:20.658129+00:00 | More Human Than Human | White Zombie | source:amperwave-api
2026-04-18T06:57:56.311930+00:00 | More Human Than Human | White Zombie | source:amperwave-api
2026-04-18T06:58:32.368297+00:00 | More Human Than Human | White Zombie | source:amperwave-api
2026-04-18T06:59:08.621760+00:00 | More Human Than Human | White Zombie | source:amperwave-api
2026-04-18T06:59:45.367472+00:00 | More Human Than Human | White Zombie | source:amperwave-api
2026-04-18T07:00:31.209116+00:00 | More Human Than Human | White Zombie | source:amperwave-api
2026-04-18T07:01:27.140870+00:00 | In The End | Linkin Park | source:amperwave-api
2026-04-18T07:02:05.405903+00:00 | In The End | Linkin Park | source:amperwave-api
2026-04-18T07:02:54.009800+00:00 | In The End | Linkin Park | source:amperwave-api
2026-04-18T07:03:43.559673+00:00 | In The End | Linkin Park | source:amperwave-api
2026-04-18T07:04:19.796704+00:00 | In The End | Linkin Park | source:amperwave-api
2026-04-18T07:05:04.026315+00:00 | Inside Out | Eve 6 | source:amperwave-api
2026-04-18T07:05:45.733003+00:00 | Inside Out | Eve 6 | source:amperwave-api
2026-04-18T07:06:20.653745+00:00 | Inside Out | Eve 6 | source:amperwave-api
2026-04-18T07:07:16.257902+00:00 | Inside Out | Eve 6 | source:amperwave-api
2026-04-18T07:07:55.073090+00:00 | Inside Out | Eve 6 | source:amperwave-api
2026-04-18T07:08:30.816808+00:00 | A Symptom Of Being Human | Shinedown | source:amperwave-api
2026-04-18T07:09:21.123117+00:00 | A Symptom Of Being Human | Shinedown | source:amperwave-api
2026-04-18T07:10:00.098090+00:00 | A Symptom Of Being Human | Shinedown | source:amperwave-api
2026-04-18T07:10:35.590907+00:00 | A Symptom Of Being Human | Shinedown | source:amperwave-api
2026-04-18T07:11:21.567122+00:00 | A Symptom Of Being Human | Shinedown | source:amperwave-api
2026-04-18T07:12:04.657052+00:00 | A Symptom Of Being Human | Shinedown | source:amperwave-api
2026-04-18T07:12:40.268995+00:00 | Rock You Like A Hurricane | Scorpions | source:amperwave-api
2026-04-18T07:13:16.355710+00:00 | Rock You Like A Hurricane | Scorpions | source:amperwave-api
2026-04-18T07:13:52.374281+00:00 | Rock You Like A Hurricane | Scorpions | source:amperwave-api
2026-04-18T07:14:30.573134+00:00 | Rock You Like A Hurricane | Scorpions | source:amperwave-api
2026-04-18T07:15:05.486755+00:00 | Rock You Like A Hurricane | Scorpions | source:amperwave-api
2026-04-18T07:15:40.966560+00:00 | Rock You Like A Hurricane | Scorpions | source:amperwave-api
2026-04-18T07:16:16.868960+00:00 | Rock You Like A Hurricane | Scorpions | source:amperwave-api
2026-04-18T07:16:52.396941+00:00 | Rock You Like A Hurricane | Scorpions | source:amperwave-api
2026-04-18T07:17:28.402005+00:00 | Rock You Like A Hurricane | Scorpions | source:amperwave-api
2026-04-18T07:18:03.695444+00:00 | Bother | Stone Sour | source:amperwave-api
2026-04-18T07:18:38.700302+00:00 | Bother | Stone Sour | source:amperwave-api
2026-04-18T07:19:14.693308+00:00 | Bother | Stone Sour | source:amperwave-api
2026-04-18T07:19:51.420615+00:00 | Bother | Stone Sour | source:amperwave-api
2026-04-18T07:20:33.468602+00:00 | Bother | Stone Sour | source:amperwave-api
2026-04-18T07:21:11.363197+00:00 | Bother | Stone Sour | source:amperwave-api
2026-04-18T07:21:47.367600+00:00 | Bother | Stone Sour | source:amperwave-api
2026-04-18T07:22:43.612480+00:00 | Santeria | Sublime | source:amperwave-api
2026-04-18T07:23:22.789872+00:00 | Santeria | Sublime | source:amperwave-api
2026-04-18T07:23:58.730285+00:00 | Santeria | Sublime | source:amperwave-api
2026-04-18T07:24:51.793285+00:00 | Santeria | Sublime | source:amperwave-api
2026-04-18T07:25:28.674561+00:00 | Broken Mirror | Architects | source:amperwave-api
2026-04-18T07:26:04.744917+00:00 | Broken Mirror | Architects | source:amperwave-api
2026-04-18T07:26:58.474918+00:00 | Broken Mirror | Architects | source:amperwave-api
2026-04-18T07:27:35.255715+00:00 | Broken Mirror | Architects | source:amperwave-api
2026-04-18T07:28:17.191221+00:00 | T.N.T. | Ac/Dc | source:amperwave-api
2026-04-18T07:28:58.651634+00:00 | T.N.T. | Ac/Dc | source:amperwave-api
2026-04-18T07:29:35.353094+00:00 | T.N.T. | Ac/Dc | source:amperwave-api
2026-04-18T07:30:11.431125+00:00 | T.N.T. | Ac/Dc | source:amperwave-api
2026-04-18T07:31:09.177095+00:00 | T.N.T. | Ac/Dc | source:amperwave-api
2026-04-18T07:32:04.830848+00:00 | T.N.T. | Ac/Dc | source:amperwave-api
2026-04-18T07:32:40.597802+00:00 | T.N.T. | Ac/Dc | source:amperwave-api
2026-04-18T07:33:16.501663+00:00 | Paralyzer | Finger Eleven | source:amperwave-api
2026-04-18T07:33:51.434718+00:00 | Paralyzer | Finger Eleven | source:amperwave-api
2026-04-18T07:34:26.763337+00:00 | Paralyzer | Finger Eleven | source:amperwave-api
2026-04-18T07:35:01.977823+00:00 | Paralyzer | Finger Eleven | source:amperwave-api
2026-04-18T07:35:37.330301+00:00 | Paralyzer | Finger Eleven | source:amperwave-api
2026-04-18T07:36:13.087260+00:00 | Paralyzer | Finger Eleven | source:amperwave-api
2026-04-18T07:36:48.863883+00:00 | Far Behind | Candlebox | source:amperwave-api
2026-04-18T07:37:24.802018+00:00 | Far Behind | Candlebox | source:amperwave-api
2026-04-18T07:38:00.211748+00:00 | Far Behind | Candlebox | source:amperwave-api
2026-04-18T07:38:35.568494+00:00 | Far Behind | Candlebox | source:amperwave-api
2026-04-18T07:39:11.419215+00:00 | Far Behind | Candlebox | source:amperwave-api
2026-04-18T07:39:47.534871+00:00 | Far Behind | Candlebox | source:amperwave-api
2026-04-18T07:40:31.296820+00:00 | Far Behind | Candlebox | source:amperwave-api
2026-04-18T07:41:10.109587+00:00 | This Land | Des Rocs | source:amperwave-api
2026-04-18T07:41:47.298138+00:00 | This Land | Des Rocs | source:amperwave-api
2026-04-18T07:42:29.887913+00:00 | This Land | Des Rocs | source:amperwave-api
2026-04-18T07:43:07.262707+00:00 | This Land | Des Rocs | source:amperwave-api
2026-04-18T07:43:43.475258+00:00 | This Land | Des Rocs | source:amperwave-api
2026-04-18T07:44:26.339555+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T07:45:03.923072+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T07:45:39.144493+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T07:46:25.546646+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T07:47:03.901390+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T07:47:39.362906+00:00 | Schism | Tool | source:amperwave-api
2026-04-18T07:48:18.953782+00:00 | Schism | Tool | source:amperwave-api
2026-04-18T07:48:57.244982+00:00 | Schism | Tool | source:amperwave-api
2026-04-18T07:49:33.186079+00:00 | Schism | Tool | source:amperwave-api
2026-04-18T07:50:11.100409+00:00 | Schism | Tool | source:amperwave-api
2026-04-18T07:50:49.266544+00:00 | Schism | Tool | source:amperwave-api
2026-04-18T07:51:24.767440+00:00 | Schism | Tool | source:amperwave-api
2026-04-18T07:52:00.315203+00:00 | Schism | Tool | source:amperwave-api
2026-04-18T07:52:35.805033+00:00 | Schism | Tool | source:amperwave-api
2026-04-18T07:53:11.399519+00:00 | Schism | Tool | source:amperwave-api
2026-04-18T07:53:47.427506+00:00 | Schism | Tool | source:amperwave-api
2026-04-18T07:54:23.668106+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-18T07:54:59.281604+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-18T07:55:35.971367+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-18T07:56:11.852127+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-18T07:56:48.122463+00:00 | Bullet With Butterfly Wings | The Smashing Pumpkins | source:amperwave-api
2026-04-18T07:57:23.856440+00:00 | Bullet With Butterfly Wings | The Smashing Pumpkins | source:amperwave-api
2026-04-18T07:58:00.516290+00:00 | Bullet With Butterfly Wings | The Smashing Pumpkins | source:amperwave-api
2026-04-18T07:58:35.903956+00:00 | Bullet With Butterfly Wings | The Smashing Pumpkins | source:amperwave-api
2026-04-18T07:59:28.553141+00:00 | Bullet With Butterfly Wings | The Smashing Pumpkins | source:amperwave-api
2026-04-18T08:00:04.792386+00:00 | Bullet With Butterfly Wings | The Smashing Pumpkins | source:amperwave-api
2026-04-18T08:00:41.264204+00:00 | Bullet With Butterfly Wings | The Smashing Pumpkins | source:amperwave-api
2026-04-18T08:01:22.225757+00:00 | Fine Again | Seether | source:amperwave-api
2026-04-18T08:02:04.995586+00:00 | Fine Again | Seether | source:amperwave-api
2026-04-18T08:02:39.958165+00:00 | Fine Again | Seether | source:amperwave-api
2026-04-18T08:03:28.475089+00:00 | Fine Again | Seether | source:amperwave-api
2026-04-18T08:04:07.290913+00:00 | Fine Again | Seether | source:amperwave-api
2026-04-18T08:04:43.037332+00:00 | Fine Again | Seether | source:amperwave-api
2026-04-18T08:05:24.552173+00:00 | Higher Ground | Red Hot Chili Peppers | source:amperwave-api
2026-04-18T08:06:01.844363+00:00 | Higher Ground | Red Hot Chili Peppers | source:amperwave-api
2026-04-18T08:06:38.287432+00:00 | Higher Ground | Red Hot Chili Peppers | source:amperwave-api
2026-04-18T08:07:18.245746+00:00 | Higher Ground | Red Hot Chili Peppers | source:amperwave-api
2026-04-18T08:07:58.447890+00:00 | Higher Ground | Red Hot Chili Peppers | source:amperwave-api
2026-04-18T08:08:34.141435+00:00 | Break Me Down | Tim Montana | source:amperwave-api
2026-04-18T08:09:16.216648+00:00 | Break Me Down | Tim Montana | source:amperwave-api
2026-04-18T08:09:53.625335+00:00 | Break Me Down | Tim Montana | source:amperwave-api
2026-04-18T08:10:29.930214+00:00 | Break Me Down | Tim Montana | source:amperwave-api
2026-04-18T08:11:05.930772+00:00 | Break Me Down | Tim Montana | source:amperwave-api
2026-04-18T08:11:45.902918+00:00 | Free Fallin | Tom Petty | source:amperwave-api
2026-04-18T08:12:21.589482+00:00 | Free Fallin | Tom Petty | source:amperwave-api
2026-04-18T08:12:57.273770+00:00 | Free Fallin | Tom Petty | source:amperwave-api
2026-04-18T08:13:33.073331+00:00 | Free Fallin | Tom Petty | source:amperwave-api
2026-04-18T08:14:09.106730+00:00 | Free Fallin | Tom Petty | source:amperwave-api
2026-04-18T08:14:45.006088+00:00 | Free Fallin | Tom Petty | source:amperwave-api
2026-04-18T08:15:21.124918+00:00 | Free Fallin | Tom Petty | source:amperwave-api
2026-04-18T08:15:57.106469+00:00 | Free Fallin | Tom Petty | source:amperwave-api
2026-04-18T08:16:32.793033+00:00 | Free Fallin | Tom Petty | source:amperwave-api
2026-04-18T08:17:32.909059+00:00 | Free Fallin | Tom Petty | source:amperwave-api
2026-04-18T08:18:12.472019+00:00 | Free Fallin | Tom Petty | source:amperwave-api
2026-04-18T08:18:50.061817+00:00 | Scars | Papa Roach | source:amperwave-api
2026-04-18T08:19:30.633950+00:00 | Scars | Papa Roach | source:amperwave-api
2026-04-18T08:20:08.716633+00:00 | Scars | Papa Roach | source:amperwave-api
2026-04-18T08:20:44.895124+00:00 | Scars | Papa Roach | source:amperwave-api
2026-04-18T08:21:32.854790+00:00 | Scars | Papa Roach | source:amperwave-api
2026-04-18T08:22:12.385311+00:00 | When I Come Around | Green Day | source:amperwave-api
2026-04-18T08:22:47.538575+00:00 | When I Come Around | Green Day | source:amperwave-api
2026-04-18T08:23:35.401056+00:00 | When I Come Around | Green Day | source:amperwave-api
2026-04-18T08:24:12.993234+00:00 | When I Come Around | Green Day | source:amperwave-api
2026-04-18T08:24:48.152124+00:00 | When I Come Around | Green Day | source:amperwave-api
2026-04-18T08:25:39.659504+00:00 | Drag Me | From Ashes To New | source:amperwave-api
2026-04-18T08:26:17.369807+00:00 | Drag Me | From Ashes To New | source:amperwave-api
2026-04-18T08:26:53.553544+00:00 | Drag Me | From Ashes To New | source:amperwave-api
2026-04-18T08:27:49.090430+00:00 | Drag Me | From Ashes To New | source:amperwave-api
2026-04-18T08:28:25.931782+00:00 | Black Dog | Led Zeppelin | source:amperwave-api
2026-04-18T08:29:00.809707+00:00 | Black Dog | Led Zeppelin | source:amperwave-api
2026-04-18T08:29:35.761931+00:00 | Black Dog | Led Zeppelin | source:amperwave-api
2026-04-18T08:30:18.529179+00:00 | Black Dog | Led Zeppelin | source:amperwave-api
2026-04-18T08:31:05.966816+00:00 | Black Dog | Led Zeppelin | source:amperwave-api
2026-04-18T08:31:42.603755+00:00 | Black Dog | Led Zeppelin | source:amperwave-api
2026-04-18T08:32:18.714433+00:00 | Black Dog | Led Zeppelin | source:amperwave-api
2026-04-18T08:32:55.964353+00:00 | Black Dog | Led Zeppelin | source:amperwave-api
2026-04-18T08:33:31.481652+00:00 | Black Dog | Led Zeppelin | source:amperwave-api
2026-04-18T08:34:06.255862+00:00 | Black Dog | Led Zeppelin | source:amperwave-api
2026-04-18T08:34:51.618644+00:00 | All In Now | Dogstar | source:amperwave-api
2026-04-18T08:35:27.576860+00:00 | All In Now | Dogstar | source:amperwave-api
2026-04-18T08:36:26.397479+00:00 | All In Now | Dogstar | source:amperwave-api
2026-04-18T08:37:07.023152+00:00 | All In Now | Dogstar | source:amperwave-api
2026-04-18T08:37:42.063421+00:00 | Down In A Hole | Alice In Chains | source:amperwave-api
2026-04-18T08:38:27.470885+00:00 | Down In A Hole | Alice In Chains | source:amperwave-api
2026-04-18T08:39:05.620353+00:00 | Down In A Hole | Alice In Chains | source:amperwave-api
