2026-04-18T00:00:00.901464+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-18T06:00:07.770489+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T06:00:44.049768+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T06:01:49.005410+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T06:02:31.204444+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-18T06:03:07.468657+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-18T06:04:05.150222+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-18T06:04:41.782865+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-18T06:05:17.601663+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-18T06:06:21.398336+00:00 | Runway | Lady Gaga Ft Doechii | source:amperwave-api
2026-04-18T06:07:03.325800+00:00 | Runway | Lady Gaga Ft Doechii | source:amperwave-api
2026-04-18T06:07:40.785055+00:00 | Runway | Lady Gaga Ft Doechii | source:amperwave-api
2026-04-18T06:08:41.697229+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T06:09:21.573053+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T06:09:57.831396+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T06:11:00.296568+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T06:11:42.281861+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T06:12:22.050310+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T06:12:57.419238+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T06:13:33.095472+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T06:14:08.450158+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T06:14:44.717584+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-18T06:15:20.131165+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T06:15:57.514857+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T06:16:34.037162+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T06:17:12.151137+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T06:17:47.702822+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T06:18:23.852369+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T06:19:00.538301+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T06:19:37.291956+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T06:20:44.385034+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T06:21:23.954130+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T06:22:00.782564+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T06:23:00.087678+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T06:23:41.044271+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T06:24:18.563405+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T06:25:16.574925+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T06:25:52.947357+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T06:26:29.288505+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T06:27:27.410743+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T06:28:07.594666+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T06:28:44.165604+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T06:29:35.707548+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T06:30:14.506292+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T06:30:50.508649+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T06:31:49.315917+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T06:32:35.749928+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T06:33:11.739063+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T06:33:47.568936+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T06:34:23.045552+00:00 | Pretty Faces | Paper Money | source:amperwave-api
2026-04-18T06:35:06.271916+00:00 | Pretty Faces | Paper Money | source:amperwave-api
2026-04-18T06:35:42.382682+00:00 | Pretty Faces | Paper Money | source:amperwave-api
2026-04-18T06:36:19.019828+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T06:36:56.432535+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T06:37:33.213565+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T06:38:08.632667+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T06:38:43.930859+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T06:39:19.754111+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T06:39:56.447959+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T06:40:34.674230+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T06:41:11.927410+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T06:41:47.583094+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T06:42:39.143333+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T06:43:15.455859+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T06:43:51.932722+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T06:44:46.241013+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T06:45:23.098814+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T06:45:58.592056+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T06:46:58.001014+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T06:47:36.557989+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T06:48:14.540205+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T06:49:09.937293+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-18T06:49:45.980043+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-18T06:50:21.472212+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-18T06:51:19.840741+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-18T06:51:57.368321+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T06:52:34.101627+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T06:53:11.310331+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T06:53:47.577677+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T06:54:22.870597+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T06:54:58.954711+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T06:55:35.126851+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T06:56:09.525203+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T06:56:45.565143+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T06:57:21.359032+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T06:57:57.143552+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T06:58:33.176998+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T06:59:09.546412+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-18T06:59:46.208496+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T07:00:36.006726+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T07:01:27.966236+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T07:02:06.239721+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T07:02:55.477525+00:00 | Hit The Road | Matti Pruett | source:amperwave-api
2026-04-18T07:03:44.494329+00:00 | Hit The Road | Matti Pruett | source:amperwave-api
2026-04-18T07:04:20.618733+00:00 | Hit The Road | Matti Pruett | source:amperwave-api
2026-04-18T07:05:08.667860+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T07:05:46.360348+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T07:06:21.439953+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T07:07:17.452565+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-18T07:07:55.874886+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-18T07:08:31.630550+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-18T07:09:22.715232+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-18T07:10:00.746408+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-18T07:10:36.548426+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T07:11:25.344113+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T07:12:05.390425+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T07:12:41.166836+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T07:13:17.100261+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T07:13:53.091335+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T07:14:31.246792+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T07:15:06.227589+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T07:15:41.700959+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T07:16:17.523057+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T07:16:53.027047+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T07:17:29.229629+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T07:18:04.312856+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T07:18:39.444608+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T07:19:15.977977+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T07:19:52.127911+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T07:20:34.851927+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T07:21:11.981906+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T07:21:48.120464+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T07:22:45.065687+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T07:23:23.523482+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T07:23:59.398656+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T07:24:52.733079+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T07:25:29.484427+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T07:26:05.444643+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T07:26:59.723496+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T07:27:35.980759+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T07:28:18.046827+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T07:29:00.545843+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T07:29:36.068875+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-18T07:30:12.216274+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-18T07:31:14.503690+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-18T07:32:05.541869+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-18T07:32:41.361104+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-18T07:33:17.168637+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-18T07:33:52.301069+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T07:34:27.519297+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T07:35:02.698087+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T07:35:37.997347+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T07:36:13.865338+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T07:36:49.852569+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-18T07:37:25.549405+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-18T07:38:00.961194+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-18T07:38:36.291352+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-18T07:39:12.274172+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-18T07:39:48.309467+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-18T07:40:32.903477+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-18T07:41:11.139183+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-18T07:41:48.088480+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-18T07:42:31.200492+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T07:43:08.221236+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T07:43:44.268217+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T07:44:28.490602+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T07:45:04.523327+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T07:45:39.882509+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-18T07:46:26.443816+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-18T07:47:04.535230+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-18T07:47:39.986542+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-18T07:48:19.970717+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-18T07:48:58.021657+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:49:34.525111+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:50:13.274378+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:50:50.023179+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:51:25.683948+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:52:00.932737+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-18T07:52:36.490266+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-18T07:53:12.098244+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-18T07:53:48.230862+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-18T07:54:24.307782+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-18T07:55:00.374632+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-18T07:55:36.642928+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-18T07:56:12.940412+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-18T07:56:48.932163+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-18T07:57:24.571442+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-18T07:58:01.241284+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-18T07:58:36.717798+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-18T07:59:29.611753+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-18T08:00:05.804816+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-18T08:00:42.263021+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-18T08:01:27.929833+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-18T08:02:05.657339+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-18T08:02:40.639679+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-18T08:03:30.545462+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-18T08:04:08.119753+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-18T08:04:43.917481+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-18T08:05:26.083745+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-18T08:06:02.741407+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T08:06:39.080569+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T08:07:22.287412+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T08:07:59.149328+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T08:08:34.992851+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T08:09:17.202157+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T08:09:54.300924+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T08:10:30.650419+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T08:11:07.620315+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T08:11:46.643693+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T08:12:22.370210+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-18T08:12:58.002049+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T08:13:34.060142+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T08:14:09.860769+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T08:14:45.754169+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-18T08:15:22.053723+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T08:15:57.879223+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T08:16:33.649791+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T08:17:35.868570+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T08:18:13.527366+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T08:18:50.765044+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T08:19:32.484282+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T08:20:10.030618+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T08:20:45.904187+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T08:21:35.252742+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T08:22:13.132844+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T08:22:48.318565+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T08:23:37.194391+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T08:24:13.713130+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T08:24:48.913573+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T08:25:42.562566+00:00 | Damn I Love Miami | Pitbull Ft Lil Jon | source:amperwave-api
2026-04-18T08:26:18.134282+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T08:26:54.268907+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T08:27:49.755215+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T08:28:26.602235+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T08:29:01.510578+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T08:29:36.617055+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T08:30:19.335625+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T08:31:07.224410+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T08:31:43.301647+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T08:32:19.424741+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T08:32:56.629870+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T08:33:32.184276+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T08:34:16.699474+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T08:34:52.345364+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T08:35:28.157568+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T08:36:30.235601+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T08:37:07.761802+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T08:37:42.718773+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T08:38:29.541550+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T08:39:06.509852+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T08:39:41.821089+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T08:40:33.301113+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-18T08:41:08.796145+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-18T08:41:44.319451+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-18T08:42:33.711439+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-18T08:43:10.186335+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-18T08:43:45.849371+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T08:44:32.360146+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T08:45:07.821348+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T08:45:43.202189+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T08:46:29.826367+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T08:47:06.347524+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T08:47:41.470188+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:48:16.786446+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:48:51.534169+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:49:26.860075+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:50:02.311670+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:50:38.059194+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:51:14.237114+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T08:51:49.393404+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T08:52:25.422715+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T08:53:00.327285+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T08:53:35.533629+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T08:54:10.914728+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T08:54:47.220799+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-18T08:55:31.608004+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-18T08:56:07.069119+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-18T08:56:42.871459+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-18T08:57:27.152501+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-18T08:58:03.136634+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-18T08:58:39.436266+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-18T08:59:39.364100+00:00 | I Gotta Feeling | Black Eyed Peas | source:amperwave-api
2026-04-18T09:00:14.884308+00:00 | I Gotta Feeling | Black Eyed Peas | source:amperwave-api
2026-04-18T09:00:49.877045+00:00 | I Gotta Feeling | Black Eyed Peas | source:amperwave-api
2026-04-18T09:01:43.484527+00:00 | I Gotta Feeling | Black Eyed Peas | source:amperwave-api
2026-04-18T09:02:22.109380+00:00 | I Gotta Feeling | Black Eyed Peas | source:amperwave-api
2026-04-18T09:02:57.736777+00:00 | I Gotta Feeling | Black Eyed Peas | source:amperwave-api
2026-04-18T09:03:44.235284+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T09:04:20.560077+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T09:04:57.948398+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T09:05:43.765320+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T09:06:19.708127+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T09:06:55.474313+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T09:07:31.655503+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-18T09:08:07.456625+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-18T09:08:43.765296+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-18T09:09:19.065962+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-18T09:09:54.523545+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T09:10:29.758196+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T09:11:04.841525+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T09:11:40.535534+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T09:12:16.780743+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T09:12:52.572574+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-18T09:13:29.035588+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-18T09:14:29.086959+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-18T09:15:07.691817+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T09:15:43.279994+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T09:16:27.692221+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T09:17:06.897379+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T09:17:42.980872+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-18T09:18:30.960837+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:19:07.065191+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:19:42.026590+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:20:39.679034+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:21:17.575449+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:21:53.748561+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:22:37.297287+00:00 | American Girls | Harry Styles | source:amperwave-api
