2026-04-19T14:41:07.619470+00:00 | Risk It All | Bruno Mars | source:connmedia-amperwave
2026-04-19T18:39:01.204232+00:00 | Nice For What | Drake | source:connmedia-amperwave
2026-04-19T18:40:18.103487+00:00 | Nice For What | Drake | source:connmedia-amperwave
2026-04-19T18:41:00.073871+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T18:42:11.280185+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T18:42:58.246635+00:00 | Work Out | J Cole | source:connmedia-amperwave
2026-04-19T18:44:05.825231+00:00 | Work Out | J Cole | source:connmedia-amperwave
2026-04-19T18:44:47.533702+00:00 | Work Out | J Cole | source:connmedia-amperwave
2026-04-19T18:45:43.355299+00:00 | Work Out | J Cole | source:connmedia-amperwave
2026-04-19T18:46:29.732251+00:00 | Work Out | J Cole | source:connmedia-amperwave
2026-04-19T18:47:16.345886+00:00 | This Is What You Came Here For | Calvin Harris/Rhianna | source:connmedia-amperwave
2026-04-19T18:48:27.040860+00:00 | This Is What You Came Here For | Calvin Harris/Rhianna | source:connmedia-amperwave
2026-04-19T18:49:08.018448+00:00 | This Is What You Came Here For | Calvin Harris/Rhianna | source:connmedia-amperwave
2026-04-19T18:49:52.915136+00:00 | This Is What You Came Here For | Calvin Harris/Rhianna | source:connmedia-amperwave
2026-04-19T18:50:33.418214+00:00 | Good 4 U | Olivia Rodrigo | source:connmedia-amperwave
2026-04-19T18:51:15.589576+00:00 | Good 4 U | Olivia Rodrigo | source:connmedia-amperwave
2026-04-19T18:52:05.565396+00:00 | Good 4 U | Olivia Rodrigo | source:connmedia-amperwave
2026-04-19T18:52:52.358811+00:00 | Good 4 U | Olivia Rodrigo | source:connmedia-amperwave
2026-04-19T18:53:34.314077+00:00 | First Class | Jack Harlow | source:connmedia-amperwave
2026-04-19T18:54:17.525029+00:00 | First Class | Jack Harlow | source:connmedia-amperwave
2026-04-19T18:54:58.610624+00:00 | First Class | Jack Harlow | source:connmedia-amperwave
2026-04-19T18:55:41.244049+00:00 | First Class | Jack Harlow | source:connmedia-amperwave
2026-04-19T18:56:22.014185+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T18:57:08.843656+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T18:58:00.954300+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T18:59:12.221516+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T18:59:52.371300+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T19:01:02.426134+00:00 | Swim | Bts | source:connmedia-amperwave
2026-04-19T19:01:43.409806+00:00 | Swim | Bts | source:connmedia-amperwave
2026-04-19T19:02:28.499313+00:00 | Swim | Bts | source:connmedia-amperwave
2026-04-19T19:03:09.966798+00:00 | Shape Of You | Ed Sheeran | source:connmedia-amperwave
2026-04-19T19:04:17.382356+00:00 | Shape Of You | Ed Sheeran | source:connmedia-amperwave
2026-04-19T19:05:11.128745+00:00 | Shape Of You | Ed Sheeran | source:connmedia-amperwave
2026-04-19T19:05:51.620794+00:00 | Shape Of You | Ed Sheeran | source:connmedia-amperwave
2026-04-19T19:06:34.878943+00:00 | Shape Of You | Ed Sheeran | source:connmedia-amperwave
2026-04-19T19:07:16.471820+00:00 | Shape Of You | Ed Sheeran | source:connmedia-amperwave
2026-04-19T19:07:57.965054+00:00 | Shape Of You | Ed Sheeran | source:connmedia-amperwave
2026-04-19T19:08:58.838654+00:00 | Shape Of You | Ed Sheeran | source:connmedia-amperwave
2026-04-19T19:09:38.755350+00:00 | Shape Of You | Ed Sheeran | source:connmedia-amperwave
2026-04-19T19:10:20.313727+00:00 | The Great Divide | Noah Kahan | source:connmedia-amperwave
2026-04-19T19:10:59.803359+00:00 | The Great Divide | Noah Kahan | source:connmedia-amperwave
2026-04-19T19:11:40.367089+00:00 | The Great Divide | Noah Kahan | source:connmedia-amperwave
2026-04-19T19:12:26.528148+00:00 | The Great Divide | Noah Kahan | source:connmedia-amperwave
2026-04-19T19:13:13.226083+00:00 | The Great Divide | Noah Kahan | source:connmedia-amperwave
2026-04-19T19:13:53.878610+00:00 | The Great Divide | Noah Kahan | source:connmedia-amperwave
2026-04-19T19:14:35.095877+00:00 | Please Please Please | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T19:15:14.668295+00:00 | Please Please Please | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T19:15:57.766719+00:00 | Please Please Please | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T19:16:38.430001+00:00 | Please Please Please | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T19:17:29.841511+00:00 | Man I Need | Olivia Dean | source:connmedia-amperwave
2026-04-19T19:18:10.815715+00:00 | Man I Need | Olivia Dean | source:connmedia-amperwave
2026-04-19T19:18:53.446395+00:00 | Man I Need | Olivia Dean | source:connmedia-amperwave
2026-04-19T19:19:54.809087+00:00 | Man I Need | Olivia Dean | source:connmedia-amperwave
2026-04-19T19:20:35.444309+00:00 | Cant Feel My Face | Weeknd | source:connmedia-amperwave
2026-04-19T19:21:33.102290+00:00 | Cant Feel My Face | Weeknd | source:connmedia-amperwave
2026-04-19T19:22:24.389277+00:00 | Cant Feel My Face | Weeknd | source:connmedia-amperwave
2026-04-19T19:23:11.528600+00:00 | Cant Feel My Face | Weeknd | source:connmedia-amperwave
2026-04-19T19:24:19.683292+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T19:24:59.665455+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T19:25:44.396037+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T19:26:27.349926+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T19:27:09.453420+00:00 | Snooze | Sza | source:connmedia-amperwave
2026-04-19T19:28:26.429393+00:00 | Snooze | Sza | source:connmedia-amperwave
2026-04-19T19:29:06.493729+00:00 | Snooze | Sza | source:connmedia-amperwave
2026-04-19T19:29:47.817474+00:00 | Snooze | Sza | source:connmedia-amperwave
2026-04-19T19:30:38.404249+00:00 | Snooze | Sza | source:connmedia-amperwave
2026-04-19T19:31:18.813017+00:00 | Snooze | Sza | source:connmedia-amperwave
2026-04-19T19:32:00.622514+00:00 | Silent Treatment | Freya Skye | source:connmedia-amperwave
2026-04-19T19:32:42.825946+00:00 | Silent Treatment | Freya Skye | source:connmedia-amperwave
2026-04-19T19:33:23.556832+00:00 | Silent Treatment | Freya Skye | source:connmedia-amperwave
2026-04-19T19:34:04.116900+00:00 | Mr Brightside | The Killers | source:connmedia-amperwave
2026-04-19T19:34:45.354188+00:00 | Mr Brightside | The Killers | source:connmedia-amperwave
2026-04-19T19:35:24.865938+00:00 | Mr Brightside | The Killers | source:connmedia-amperwave
2026-04-19T19:36:25.717722+00:00 | Mr Brightside | The Killers | source:connmedia-amperwave
2026-04-19T19:37:15.951801+00:00 | Mr Brightside | The Killers | source:connmedia-amperwave
2026-04-19T19:37:55.864635+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T19:38:57.856575+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T19:39:37.918810+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T19:40:27.016163+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
2026-04-19T19:41:08.489374+00:00 | Better Now | Post Malone | source:connmedia-amperwave
2026-04-19T19:41:49.220462+00:00 | Better Now | Post Malone | source:connmedia-amperwave
2026-04-19T19:43:01.130422+00:00 | Better Now | Post Malone | source:connmedia-amperwave
2026-04-19T19:43:42.216136+00:00 | Better Now | Post Malone | source:connmedia-amperwave
2026-04-19T19:44:48.510414+00:00 | I Just Might | Bruno Mars | source:connmedia-amperwave
2026-04-19T19:45:28.870541+00:00 | I Just Might | Bruno Mars | source:connmedia-amperwave
2026-04-19T19:46:44.719791+00:00 | I Just Might | Bruno Mars | source:connmedia-amperwave
2026-04-19T19:47:25.233662+00:00 | I Just Might | Bruno Mars | source:connmedia-amperwave
2026-04-19T19:48:06.695609+00:00 | Calm Down | Rema/ Selena Gomez | source:connmedia-amperwave
2026-04-19T19:48:46.151577+00:00 | Calm Down | Rema/ Selena Gomez | source:connmedia-amperwave
2026-04-19T19:49:27.634123+00:00 | Calm Down | Rema/ Selena Gomez | source:connmedia-amperwave
2026-04-19T19:50:07.986606+00:00 | Calm Down | Rema/ Selena Gomez | source:connmedia-amperwave
2026-04-19T19:50:57.122044+00:00 | Calm Down | Rema/ Selena Gomez | source:connmedia-amperwave
2026-04-19T19:51:49.698248+00:00 | Love The Way You Lie | Eminem & Rihanna | source:connmedia-amperwave
2026-04-19T19:52:37.631191+00:00 | Love The Way You Lie | Eminem & Rihanna | source:connmedia-amperwave
2026-04-19T19:53:24.770897+00:00 | Love The Way You Lie | Eminem & Rihanna | source:connmedia-amperwave
2026-04-19T19:54:31.926564+00:00 | Love The Way You Lie | Eminem & Rihanna | source:connmedia-amperwave
2026-04-19T19:55:12.891954+00:00 | Love The Way You Lie | Eminem & Rihanna | source:connmedia-amperwave
2026-04-19T19:55:54.317149+00:00 | Love The Way You Lie | Eminem & Rihanna | source:connmedia-amperwave
2026-04-19T19:56:55.139066+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:connmedia-amperwave
2026-04-19T19:57:36.926488+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:connmedia-amperwave
2026-04-19T19:58:31.180383+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:connmedia-amperwave
2026-04-19T19:59:11.388140+00:00 | Dracula | Tame Impala | source:connmedia-amperwave
2026-04-19T19:59:53.813714+00:00 | Dracula | Tame Impala | source:connmedia-amperwave
2026-04-19T20:01:02.607966+00:00 | Dracula | Tame Impala | source:connmedia-amperwave
2026-04-19T20:01:46.996578+00:00 | Dracula | Tame Impala | source:connmedia-amperwave
2026-04-19T20:02:49.609169+00:00 | Sorry I'M Here For Someone Else | Benson Boone | source:connmedia-amperwave
2026-04-19T20:03:30.484608+00:00 | Sorry I'M Here For Someone Else | Benson Boone | source:connmedia-amperwave
2026-04-19T20:04:29.014381+00:00 | Sorry I'M Here For Someone Else | Benson Boone | source:connmedia-amperwave
2026-04-19T20:05:19.826156+00:00 | Sorry I'M Here For Someone Else | Benson Boone | source:connmedia-amperwave
2026-04-19T20:06:01.060835+00:00 | Sorry I'M Here For Someone Else | Benson Boone | source:connmedia-amperwave
2026-04-19T20:06:42.716570+00:00 | Stargazing | Myles Smith | source:connmedia-amperwave
2026-04-19T20:07:30.598216+00:00 | Stargazing | Myles Smith | source:connmedia-amperwave
2026-04-19T20:08:12.517780+00:00 | Stargazing | Myles Smith | source:connmedia-amperwave
2026-04-19T20:08:54.396298+00:00 | Skinz | Poison Ivy | source:connmedia-amperwave
2026-04-19T20:09:35.171291+00:00 | Skinz | Poison Ivy | source:connmedia-amperwave
2026-04-19T20:10:17.267394+00:00 | Skinz | Poison Ivy | source:connmedia-amperwave
2026-04-19T20:10:56.629114+00:00 | Skinz | Poison Ivy | source:connmedia-amperwave
2026-04-19T20:11:37.758410+00:00 | Skinz | Poison Ivy | source:connmedia-amperwave
2026-04-19T20:12:17.464404+00:00 | In My Feelings | Drake | source:connmedia-amperwave
2026-04-19T20:12:58.327284+00:00 | In My Feelings | Drake | source:connmedia-amperwave
2026-04-19T20:14:34.412387+00:00 | In My Feelings | Drake | source:connmedia-amperwave
2026-04-19T20:15:23.544857+00:00 | That'S So True | Gracie Abrams | source:connmedia-amperwave
2026-04-19T20:16:10.178797+00:00 | That'S So True | Gracie Abrams | source:connmedia-amperwave
2026-04-19T20:16:50.723785+00:00 | That'S So True | Gracie Abrams | source:connmedia-amperwave
2026-04-19T20:17:59.724142+00:00 | Down | Jay Sean X Lil Wayne | source:connmedia-amperwave
2026-04-19T20:18:40.887304+00:00 | Down | Jay Sean X Lil Wayne | source:connmedia-amperwave
2026-04-19T20:19:23.346822+00:00 | Down | Jay Sean X Lil Wayne | source:connmedia-amperwave
2026-04-19T20:20:04.772538+00:00 | Down | Jay Sean X Lil Wayne | source:connmedia-amperwave
2026-04-19T20:20:47.101356+00:00 | Down | Jay Sean X Lil Wayne | source:connmedia-amperwave
2026-04-19T20:22:00.599541+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T20:22:41.272282+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T20:23:32.034127+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:connmedia-amperwave
2026-04-19T20:24:13.735093+00:00 | Stick Season | Noah Kahan | source:connmedia-amperwave
2026-04-19T20:24:55.235720+00:00 | Stick Season | Noah Kahan | source:connmedia-amperwave
2026-04-19T20:25:34.705258+00:00 | Stick Season | Noah Kahan | source:connmedia-amperwave
2026-04-19T20:26:17.124804+00:00 | Stick Season | Noah Kahan | source:connmedia-amperwave
2026-04-19T20:26:57.192618+00:00 | Stick Season | Noah Kahan | source:connmedia-amperwave
2026-04-19T20:27:38.274236+00:00 | Stick Season | Noah Kahan | source:connmedia-amperwave
2026-04-19T20:28:30.067919+00:00 | Stick Season | Noah Kahan | source:connmedia-amperwave
2026-04-19T20:29:10.503947+00:00 | Stick Season | Noah Kahan | source:connmedia-amperwave
2026-04-19T20:29:53.181124+00:00 | Risk It All | Bruno Mars | source:connmedia-amperwave
2026-04-19T20:30:36.067307+00:00 | Risk It All | Bruno Mars | source:connmedia-amperwave
2026-04-19T20:31:23.314402+00:00 | Risk It All | Bruno Mars | source:connmedia-amperwave
2026-04-19T20:32:36.075582+00:00 | Risk It All | Bruno Mars | source:connmedia-amperwave
2026-04-19T20:33:18.208560+00:00 | I Know You Want Me(Calle Ocho) | Pitbull | source:connmedia-amperwave
2026-04-19T20:34:08.175958+00:00 | I Know You Want Me(Calle Ocho) | Pitbull | source:connmedia-amperwave
2026-04-19T20:35:17.598145+00:00 | I Know You Want Me(Calle Ocho) | Pitbull | source:connmedia-amperwave
2026-04-19T20:35:57.034507+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T20:36:41.915586+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T20:37:22.238433+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T20:38:03.986189+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T20:38:44.108715+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T20:39:25.831663+00:00 | Folded | Kehlani | source:connmedia-amperwave
2026-04-19T20:40:30.997810+00:00 | Say So | Doja Cat | source:connmedia-amperwave
2026-04-19T20:41:14.665414+00:00 | Say So | Doja Cat | source:connmedia-amperwave
2026-04-19T20:41:57.535455+00:00 | Say So | Doja Cat | source:connmedia-amperwave
2026-04-19T20:42:40.304028+00:00 | Say So | Doja Cat | source:connmedia-amperwave
2026-04-19T20:43:22.267669+00:00 | Say So | Doja Cat | source:connmedia-amperwave
2026-04-19T20:44:02.086897+00:00 | Good Luck Babe | Chappel Roan | source:connmedia-amperwave
2026-04-19T20:44:43.269459+00:00 | Good Luck Babe | Chappel Roan | source:connmedia-amperwave
2026-04-19T20:45:23.097640+00:00 | Good Luck Babe | Chappel Roan | source:connmedia-amperwave
2026-04-19T20:46:04.215086+00:00 | Good Luck Babe | Chappel Roan | source:connmedia-amperwave
2026-04-19T20:46:45.229002+00:00 | Good Luck Babe | Chappel Roan | source:connmedia-amperwave
2026-04-19T20:47:28.982007+00:00 | Circles | Post Malone | source:connmedia-amperwave
2026-04-19T20:48:08.659614+00:00 | Circles | Post Malone | source:connmedia-amperwave
2026-04-19T20:48:49.978738+00:00 | Circles | Post Malone | source:connmedia-amperwave
2026-04-19T20:49:30.072665+00:00 | Circles | Post Malone | source:connmedia-amperwave
2026-04-19T20:50:12.794322+00:00 | Circles | Post Malone | source:connmedia-amperwave
2026-04-19T20:50:52.754738+00:00 | Bad Love | Halsey | source:connmedia-amperwave
2026-04-19T20:51:34.948341+00:00 | Bad Love | Halsey | source:connmedia-amperwave
2026-04-19T20:52:18.042590+00:00 | Bad Love | Halsey | source:connmedia-amperwave
2026-04-19T20:53:01.705042+00:00 | Bad Love | Halsey | source:connmedia-amperwave
2026-04-19T20:54:07.154196+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T20:54:47.405656+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T20:55:36.907412+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T20:56:19.653241+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T20:57:01.469128+00:00 | Homewrecker | Sombr | source:connmedia-amperwave
2026-04-19T20:57:47.797937+00:00 | Stateside | Pink Panthress X Zara Larson | source:connmedia-amperwave
2026-04-19T20:58:30.583777+00:00 | Stateside | Pink Panthress X Zara Larson | source:connmedia-amperwave
2026-04-19T20:59:12.821785+00:00 | Stateside | Pink Panthress X Zara Larson | source:connmedia-amperwave
2026-04-19T21:00:21.512353+00:00 | End Of Beginning | Djo | source:connmedia-amperwave
2026-04-19T21:01:05.871318+00:00 | End Of Beginning | Djo | source:connmedia-amperwave
2026-04-19T21:02:17.386187+00:00 | End Of Beginning | Djo | source:connmedia-amperwave
2026-04-19T21:03:01.120474+00:00 | End Of Beginning | Djo | source:connmedia-amperwave
2026-04-19T21:03:43.383518+00:00 | End Of Beginning | Djo | source:connmedia-amperwave
2026-04-19T21:04:27.999793+00:00 | End Of Beginning | Djo | source:connmedia-amperwave
2026-04-19T21:05:10.636949+00:00 | Luther | Kendrick Lamar/Sza | source:connmedia-amperwave
2026-04-19T21:05:58.320291+00:00 | Luther | Kendrick Lamar/Sza | source:connmedia-amperwave
2026-04-19T21:06:45.408642+00:00 | Luther | Kendrick Lamar/Sza | source:connmedia-amperwave
2026-04-19T21:07:26.151247+00:00 | Iloveitiloveitiloveit | Bella Kaye | source:connmedia-amperwave
2026-04-19T21:08:08.221594+00:00 | Iloveitiloveitiloveit | Bella Kaye | source:connmedia-amperwave
2026-04-19T21:08:49.950693+00:00 | Iloveitiloveitiloveit | Bella Kaye | source:connmedia-amperwave
2026-04-19T21:09:31.510400+00:00 | Iloveitiloveitiloveit | Bella Kaye | source:connmedia-amperwave
2026-04-19T21:10:28.498179+00:00 | Hey Ya | Outkast | source:connmedia-amperwave
2026-04-19T21:11:09.880872+00:00 | Hey Ya | Outkast | source:connmedia-amperwave
2026-04-19T21:11:50.873551+00:00 | Hey Ya | Outkast | source:connmedia-amperwave
2026-04-19T21:12:32.374234+00:00 | Hey Ya | Outkast | source:connmedia-amperwave
2026-04-19T21:13:13.611296+00:00 | Hey Ya | Outkast | source:connmedia-amperwave
2026-04-19T21:13:53.643304+00:00 | Hey Ya | Outkast | source:connmedia-amperwave
2026-04-19T21:14:36.780643+00:00 | A Bar Song (Tipsy) | Shaboozey | source:connmedia-amperwave
2026-04-19T21:15:17.236083+00:00 | A Bar Song (Tipsy) | Shaboozey | source:connmedia-amperwave
2026-04-19T21:15:59.807610+00:00 | A Bar Song (Tipsy) | Shaboozey | source:connmedia-amperwave
2026-04-19T21:16:41.098314+00:00 | A Bar Song (Tipsy) | Shaboozey | source:connmedia-amperwave
2026-04-19T21:17:25.427413+00:00 | Locked Out Of Heaven | Bruno Mars | source:connmedia-amperwave
2026-04-19T21:18:05.849657+00:00 | Locked Out Of Heaven | Bruno Mars | source:connmedia-amperwave
2026-04-19T21:18:47.017775+00:00 | Locked Out Of Heaven | Bruno Mars | source:connmedia-amperwave
2026-04-19T21:19:34.220645+00:00 | Locked Out Of Heaven | Bruno Mars | source:connmedia-amperwave
2026-04-19T21:20:14.331660+00:00 | Locked Out Of Heaven | Bruno Mars | source:connmedia-amperwave
2026-04-19T21:21:16.684912+00:00 | Where Is My Husband | Raye | source:connmedia-amperwave
