2026-04-19T14:41:15.757594+00:00 | American Girls | Harry Styles | source:securenet-history
2026-04-19T19:01:47.700831+00:00 | Shape Of You | Ed Sheeran | source:securenet-history
2026-04-19T19:02:32.632255+00:00 | Shape Of You | Ed Sheeran | source:securenet-history
2026-04-19T19:03:15.488419+00:00 | Shape Of You | Ed Sheeran | source:securenet-history
2026-04-19T19:04:31.262659+00:00 | Shape Of You | Ed Sheeran | source:securenet-history
2026-04-19T19:05:14.596177+00:00 | The Fate Of Ophelia | Taylor Swift | source:securenet-history
2026-04-19T19:05:55.975107+00:00 | The Fate Of Ophelia | Taylor Swift | source:securenet-history
2026-04-19T19:06:39.466224+00:00 | The Fate Of Ophelia | Taylor Swift | source:securenet-history
2026-04-19T19:07:20.292441+00:00 | The Fate Of Ophelia | Taylor Swift | source:securenet-history
2026-04-19T19:08:01.211837+00:00 | The Fate Of Ophelia | Taylor Swift | source:securenet-history
2026-04-19T19:09:02.437950+00:00 | Yeah | Usher | source:securenet-history
2026-04-19T19:09:42.230584+00:00 | Yeah | Usher | source:securenet-history
2026-04-19T19:10:23.564966+00:00 | Yeah | Usher | source:securenet-history
2026-04-19T19:11:03.160559+00:00 | Yeah | Usher | source:securenet-history
2026-04-19T19:11:43.862038+00:00 | Yeah | Usher | source:securenet-history
2026-04-19T19:12:29.968136+00:00 | Yeah | Usher | source:securenet-history
2026-04-19T19:13:17.533294+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T19:13:57.651663+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T19:14:38.412340+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T19:15:18.403092+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T19:16:01.442286+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T19:16:42.145527+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T19:17:33.895180+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T19:18:14.598341+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T19:18:57.133063+00:00 | Unstoppable | Sia | source:securenet-history
2026-04-19T19:19:58.342181+00:00 | Unstoppable | Sia | source:securenet-history
2026-04-19T19:20:38.551552+00:00 | Unstoppable | Sia | source:securenet-history
2026-04-19T19:21:42.146199+00:00 | Unstoppable | Sia | source:securenet-history
2026-04-19T19:22:28.428806+00:00 | Ordinary | Alex Warren | source:securenet-history
2026-04-19T19:23:40.339143+00:00 | Ordinary | Alex Warren | source:securenet-history
2026-04-19T19:24:23.076450+00:00 | Ordinary | Alex Warren | source:securenet-history
2026-04-19T19:25:03.655313+00:00 | Ordinary | Alex Warren | source:securenet-history
2026-04-19T19:25:50.999034+00:00 | So Easy To Fall In Love | Olivia Dean | source:securenet-history
2026-04-19T19:26:31.413678+00:00 | So Easy To Fall In Love | Olivia Dean | source:securenet-history
2026-04-19T19:27:13.502012+00:00 | So Easy To Fall In Love | Olivia Dean | source:securenet-history
2026-04-19T19:28:29.684123+00:00 | Manchild | Sabrina Carpenter | source:securenet-history
2026-04-19T19:29:09.648156+00:00 | Manchild | Sabrina Carpenter | source:securenet-history
2026-04-19T19:29:56.226495+00:00 | Manchild | Sabrina Carpenter | source:securenet-history
2026-04-19T19:30:42.078411+00:00 | Manchild | Sabrina Carpenter | source:securenet-history
2026-04-19T19:31:22.339114+00:00 | Manchild | Sabrina Carpenter | source:securenet-history
2026-04-19T19:32:04.991855+00:00 | Opalite | Taylor Swift | source:securenet-history
2026-04-19T19:32:46.312362+00:00 | Opalite | Taylor Swift | source:securenet-history
2026-04-19T19:33:27.274752+00:00 | Opalite | Taylor Swift | source:securenet-history
2026-04-19T19:34:07.703361+00:00 | Opalite | Taylor Swift | source:securenet-history
2026-04-19T19:34:48.829656+00:00 | Opalite | Taylor Swift | source:securenet-history
2026-04-19T19:35:28.164312+00:00 | Die With A Smile | Lady Gaga / Bruno Mars | source:securenet-history
2026-04-19T19:36:37.574968+00:00 | Die With A Smile | Lady Gaga / Bruno Mars | source:securenet-history
2026-04-19T19:37:19.529932+00:00 | Die With A Smile | Lady Gaga / Bruno Mars | source:securenet-history
2026-04-19T19:37:59.634325+00:00 | Die With A Smile | Lady Gaga / Bruno Mars | source:securenet-history
2026-04-19T19:39:01.451532+00:00 | Die With A Smile | Lady Gaga / Bruno Mars | source:securenet-history
2026-04-19T19:39:41.522723+00:00 | Back To Friends | Sombr | source:securenet-history
2026-04-19T19:40:31.714658+00:00 | Back To Friends | Sombr | source:securenet-history
2026-04-19T19:41:11.754599+00:00 | Back To Friends | Sombr | source:securenet-history
2026-04-19T19:42:22.520017+00:00 | Back To Friends | Sombr | source:securenet-history
2026-04-19T19:43:04.673927+00:00 | Girls Like You | Maroon 5 / Cardi B | source:securenet-history
2026-04-19T19:44:10.859509+00:00 | Girls Like You | Maroon 5 / Cardi B | source:securenet-history
2026-04-19T19:44:52.323795+00:00 | Girls Like You | Maroon 5 / Cardi B | source:securenet-history
2026-04-19T19:45:33.915402+00:00 | Girls Like You | Maroon 5 / Cardi B | source:securenet-history
2026-04-19T19:46:48.465792+00:00 | Dracula | Tame Impala / Jennie | source:securenet-history
2026-04-19T19:47:29.355149+00:00 | Dracula | Tame Impala / Jennie | source:securenet-history
2026-04-19T19:48:09.983332+00:00 | Dracula | Tame Impala / Jennie | source:securenet-history
2026-04-19T19:48:49.806901+00:00 | Dracula | Tame Impala / Jennie | source:securenet-history
2026-04-19T19:49:31.244813+00:00 | Dracula | Tame Impala / Jennie | source:securenet-history
2026-04-19T19:50:13.575377+00:00 | Dracula | Tame Impala / Jennie | source:securenet-history
2026-04-19T19:51:11.678947+00:00 | Dracula | Tame Impala / Jennie | source:securenet-history
2026-04-19T19:51:59.940279+00:00 | Dracula | Tame Impala / Jennie | source:securenet-history
2026-04-19T19:52:41.137103+00:00 | Dracula | Tame Impala / Jennie | source:securenet-history
2026-04-19T19:53:33.822003+00:00 | Dracula | Tame Impala / Jennie | source:securenet-history
2026-04-19T19:54:36.091919+00:00 | Folded | Kehlani | source:securenet-history
2026-04-19T19:55:16.566298+00:00 | Folded | Kehlani | source:securenet-history
2026-04-19T19:55:57.743469+00:00 | Folded | Kehlani | source:securenet-history
2026-04-19T19:56:59.283947+00:00 | Folded | Kehlani | source:securenet-history
2026-04-19T19:57:45.773607+00:00 | Chemical | Post Malone | source:securenet-history
2026-04-19T19:58:34.841710+00:00 | Chemical | Post Malone | source:securenet-history
2026-04-19T19:59:15.140102+00:00 | Chemical | Post Malone | source:securenet-history
2026-04-19T19:59:57.300016+00:00 | Chemical | Post Malone | source:securenet-history
2026-04-19T20:01:06.661956+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T20:01:50.676957+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T20:02:53.107460+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T20:03:38.214712+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T20:04:36.207440+00:00 | End Of Beginning | Djo | source:securenet-history
2026-04-19T20:05:23.742847+00:00 | End Of Beginning | Djo | source:securenet-history
2026-04-19T20:06:04.885687+00:00 | End Of Beginning | Djo | source:securenet-history
2026-04-19T20:06:47.095125+00:00 | End Of Beginning | Djo | source:securenet-history
2026-04-19T20:07:35.343772+00:00 | Golden | Huntr/X | source:securenet-history
2026-04-19T20:08:16.357320+00:00 | Golden | Huntr/X | source:securenet-history
2026-04-19T20:08:58.707497+00:00 | Golden | Huntr/X | source:securenet-history
2026-04-19T20:09:39.943684+00:00 | Golden | Huntr/X | source:securenet-history
2026-04-19T20:10:20.479344+00:00 | Good For You | Selena Gomez | source:securenet-history
2026-04-19T20:11:00.251786+00:00 | Good For You | Selena Gomez | source:securenet-history
2026-04-19T20:11:41.387930+00:00 | Good For You | Selena Gomez | source:securenet-history
2026-04-19T20:12:20.832496+00:00 | Good For You | Selena Gomez | source:securenet-history
2026-04-19T20:13:23.393446+00:00 | I Love Miami | Pitbull / Lil Jon | source:securenet-history
2026-04-19T20:14:37.871391+00:00 | I Love Miami | Pitbull / Lil Jon | source:securenet-history
2026-04-19T20:15:31.932278+00:00 | I Love Miami | Pitbull / Lil Jon | source:securenet-history
2026-04-19T20:16:13.869481+00:00 | I Love Miami | Pitbull / Lil Jon | source:securenet-history
2026-04-19T20:17:20.624313+00:00 | I Love Miami | Pitbull / Lil Jon | source:securenet-history
2026-04-19T20:18:04.264435+00:00 | I Love Miami | Pitbull / Lil Jon | source:securenet-history
2026-04-19T20:18:44.270793+00:00 | I Love Miami | Pitbull / Lil Jon | source:securenet-history
2026-04-19T20:19:27.153513+00:00 | Dance Dance | Fall Out Boy | source:securenet-history
2026-04-19T20:20:08.170414+00:00 | Dance Dance | Fall Out Boy | source:securenet-history
2026-04-19T20:20:51.572709+00:00 | Dance Dance | Fall Out Boy | source:securenet-history
2026-04-19T20:22:04.300946+00:00 | Dance Dance | Fall Out Boy | source:securenet-history
2026-04-19T20:22:54.649627+00:00 | Risk It All | Bruno Mars | source:securenet-history
2026-04-19T20:23:36.077109+00:00 | Risk It All | Bruno Mars | source:securenet-history
2026-04-19T20:24:17.526210+00:00 | Risk It All | Bruno Mars | source:securenet-history
2026-04-19T20:24:58.689934+00:00 | Risk It All | Bruno Mars | source:securenet-history
2026-04-19T20:25:38.145910+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T20:26:20.501670+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T20:27:00.829149+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T20:27:52.054097+00:00 | Yukon | Justin Bieber | source:securenet-history
2026-04-19T20:28:33.805274+00:00 | Until I Found You | Stephen Sanchez | source:securenet-history
2026-04-19T20:29:14.600633+00:00 | Until I Found You | Stephen Sanchez | source:securenet-history
2026-04-19T20:29:57.286546+00:00 | Until I Found You | Stephen Sanchez | source:securenet-history
2026-04-19T20:30:43.376487+00:00 | Until I Found You | Stephen Sanchez | source:securenet-history
2026-04-19T20:31:30.641179+00:00 | Birds Of A Feather | Billie Eilish | source:securenet-history
2026-04-19T20:32:40.905931+00:00 | Birds Of A Feather | Billie Eilish | source:securenet-history
2026-04-19T20:33:23.525585+00:00 | Birds Of A Feather | Billie Eilish | source:securenet-history
2026-04-19T20:34:39.692806+00:00 | Birds Of A Feather | Billie Eilish | source:securenet-history
2026-04-19T20:35:21.018660+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:securenet-history
2026-04-19T20:36:00.471776+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:securenet-history
2026-04-19T20:36:46.062334+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:securenet-history
2026-04-19T20:37:25.779881+00:00 | So Easy To Fall In Love | Olivia Dean | source:securenet-history
2026-04-19T20:38:07.546205+00:00 | So Easy To Fall In Love | Olivia Dean | source:securenet-history
2026-04-19T20:38:47.580261+00:00 | So Easy To Fall In Love | Olivia Dean | source:securenet-history
2026-04-19T20:39:34.467336+00:00 | So Easy To Fall In Love | Olivia Dean | source:securenet-history
2026-04-19T20:40:37.949246+00:00 | Sorry I'M Here For Someone E | Benson Boone | source:securenet-history
2026-04-19T20:41:18.562401+00:00 | Sorry I'M Here For Someone E | Benson Boone | source:securenet-history
2026-04-19T20:42:02.767204+00:00 | Sorry I'M Here For Someone E | Benson Boone | source:securenet-history
2026-04-19T20:42:44.342365+00:00 | Need Your Love | Onerepublic | source:securenet-history
2026-04-19T20:43:25.743370+00:00 | Need Your Love | Onerepublic | source:securenet-history
2026-04-19T20:44:05.358544+00:00 | Need Your Love | Onerepublic | source:securenet-history
2026-04-19T20:44:46.801920+00:00 | Need Your Love | Onerepublic | source:securenet-history
2026-04-19T20:45:26.758452+00:00 | Need Your Love | Onerepublic | source:securenet-history
2026-04-19T20:46:07.675810+00:00 | Need Your Love | Onerepublic | source:securenet-history
2026-04-19T20:46:50.469269+00:00 | Need Your Love | Onerepublic | source:securenet-history
2026-04-19T20:47:32.666942+00:00 | Need Your Love | Onerepublic | source:securenet-history
2026-04-19T20:48:11.862141+00:00 | Need Your Love | Onerepublic | source:securenet-history
2026-04-19T20:48:53.615222+00:00 | Need Your Love | Onerepublic | source:securenet-history
2026-04-19T20:49:33.588334+00:00 | Need Your Love | Onerepublic | source:securenet-history
2026-04-19T20:50:16.143900+00:00 | Man I Need | Olivia Dean | source:securenet-history
2026-04-19T20:50:56.181415+00:00 | Man I Need | Olivia Dean | source:securenet-history
2026-04-19T20:51:39.750721+00:00 | Man I Need | Olivia Dean | source:securenet-history
2026-04-19T20:52:22.631105+00:00 | Man I Need | Olivia Dean | source:securenet-history
2026-04-19T20:53:29.574938+00:00 | Blinding Lights | The Weeknd | source:securenet-history
2026-04-19T20:54:11.026223+00:00 | Blinding Lights | The Weeknd | source:securenet-history
2026-04-19T20:54:50.602739+00:00 | Blinding Lights | The Weeknd | source:securenet-history
2026-04-19T20:55:42.455757+00:00 | Blinding Lights | The Weeknd | source:securenet-history
2026-04-19T20:56:23.000807+00:00 | Raise Your Glass | Pink | source:securenet-history
2026-04-19T20:57:09.830557+00:00 | Raise Your Glass | Pink | source:securenet-history
2026-04-19T20:57:51.402943+00:00 | Raise Your Glass | Pink | source:securenet-history
2026-04-19T20:58:33.970360+00:00 | Raise Your Glass | Pink | source:securenet-history
2026-04-19T20:59:16.874689+00:00 | Raise Your Glass | Pink | source:securenet-history
2026-04-19T21:00:26.605968+00:00 | Back To Friends | Sombr | source:securenet-history
2026-04-19T21:01:10.746426+00:00 | Back To Friends | Sombr | source:securenet-history
2026-04-19T21:02:21.498082+00:00 | Back To Friends | Sombr | source:securenet-history
2026-04-19T21:03:05.158764+00:00 | As It Was | Harry Styles | source:securenet-history
2026-04-19T21:03:50.161894+00:00 | As It Was | Harry Styles | source:securenet-history
2026-04-19T21:04:32.533351+00:00 | As It Was | Harry Styles | source:securenet-history
2026-04-19T21:05:14.373605+00:00 | As It Was | Harry Styles | source:securenet-history
2026-04-19T21:06:01.894187+00:00 | Silent Treatment | Freya Skye | source:securenet-history
2026-04-19T21:06:48.835237+00:00 | Silent Treatment | Freya Skye | source:securenet-history
2026-04-19T21:07:29.596227+00:00 | Silent Treatment | Freya Skye | source:securenet-history
2026-04-19T21:08:12.765431+00:00 | Somebody Told Me | The Killers | source:securenet-history
2026-04-19T21:08:53.430047+00:00 | Somebody Told Me | The Killers | source:securenet-history
2026-04-19T21:09:34.781518+00:00 | Somebody Told Me | The Killers | source:securenet-history
2026-04-19T21:10:33.201625+00:00 | Somebody Told Me | The Killers | source:securenet-history
2026-04-19T21:11:13.386303+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T21:11:54.215626+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T21:12:35.925997+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T21:13:17.256735+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T21:13:56.803996+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T21:14:40.438531+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T21:15:22.459198+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T21:16:03.206563+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T21:16:47.702633+00:00 | I Just Might | Bruno Mars | source:securenet-history
2026-04-19T21:17:29.315376+00:00 | Fast Car | Luke Combs | source:securenet-history
2026-04-19T21:18:09.178936+00:00 | Fast Car | Luke Combs | source:securenet-history
2026-04-19T21:18:50.987321+00:00 | Fast Car | Luke Combs | source:securenet-history
2026-04-19T21:19:38.142391+00:00 | Fast Car | Luke Combs | source:securenet-history
2026-04-19T21:20:18.647388+00:00 | Fast Car | Luke Combs | source:securenet-history
2026-04-19T21:21:20.577880+00:00 | Fast Car | Luke Combs | source:securenet-history
